Recording Name,Subject,Metric,Value,SubjectID,Block,Module
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Power(ms²),309.8685006478992,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Power Percent(%),15.26887453880807,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Power Norm.,0.2485260845168758,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Peak(Hz),0.150390625,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Total Power(ms²),2029.412841531464,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,LF/HF,3.023722507615076,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,SD1(ms),20.13656140100812,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,SD2(ms),64.18133029926544,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,A++(count),231.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,B--(count),231.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Mean IBI(ms),773.9728319057814,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Mean HR(bpm),78.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,SDNN(ms),61.52679150979453,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,SDANN(ms),0.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,RMSSD(ms),39.78293449341088,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,SDSD(ms),39.82245281041484,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,pNN50(%),20.3862660944206,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,pNN20(%),57.93991416309013,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Power(ms²),49.91918916112565,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Power Percent(%),1.906148618465416,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Peak(Hz),0.0009765625,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
